datasetName	type	basisOfRecord	modified	language	license	rightsHolder	institutionID	institutionCode	occurrenceID	recordNumber	collectionCode	recordedBy	individualCount	sex	lifestage	occurrenceStatus	disposition	verbatimEventDate	eventDate	year	month	day	habitat	samplingProtocol	fieldNumber	eventRemarks	continent	countryCode	country	stateProvince	county	locality	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	georeferencedBy	georeferencedDate	verbatimCoordinates	minimumElevationInMeters	maximumElevationInMeters	locationRemarks	kingdom	phylum	class	order	family	genus	specificEpithet	scientificNameAuthorship	scientificName	taxonRank	identifiedBy	dateIdentified	identificationRemarks	taxonRemarks
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_011		IZRK_Ara	Kim L.V.	1	male	adult	present	in collection		2020-07-27	2020	7	27		manual collecting	48		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2449	76.9327	WGS84	75	Kim L.V.	2020		825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Attulus	fasciger	(Simon, 1880)	Attulus fasciger (Simon, 1880)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_012		IZRK_Ara	Kim L.V.	1	male	adult	present	in collection		2020-07-27	2020	7	27		manual collecting	49		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2449	76.9327	WGS84	75	Kim L.V.	2020		825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Attulus	fasciger	(Simon, 1880)	Attulus fasciger (Simon, 1880)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_013		IZRK_Ara	Kim L.V.	1	male	adult	present	in collection		2020-07-27	2020	7	27		manual collecting	50		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2449	76.9327	WGS84	75	Kim L.V.	2020		825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Attulus	fasciger	(Simon, 1880)	Attulus fasciger (Simon, 1880)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_014		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-07-27	2020	7	27		manual collecting	52		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	Shevchenko str., 89b	43.2452	76.9324	WGS84	75	Kim L.V.	2020		825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Attulus	fasciger	(Simon, 1880)	Attulus fasciger (Simon, 1880)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_015		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-07-30	2020	7	30		manual collecting	53	With egg sac.	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2471	76.9274	WGS84	75	Kim L.V.	2020		818	825	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Phylloneta	impressa	(L.Koch, 1881)	Phylloneta impressa (L.Koch, 1881)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_016		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-07-30	2020	7	30		manual collecting	55		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2453	76.9333	WGS84	75	Kim L.V.	2020		825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Parasteatoda	tepidariorum	(C.L.Koch, 1841)	Parasteatoda tepidariorum (C.L.Koch, 1841)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_017		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-07-30	2020	7	30		manual collecting	56		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2471	76.9273	WGS84	75	Kim L.V.	2020		818	825	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Phylloneta	impressa	(L.Koch, 1881)	Phylloneta impressa (L.Koch, 1881)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_018		IZRK_Ara	Kim L.V.	1	male	adult	present	in collection		2020-08-03	2020	8	3		manual collecting	58		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2615	76.9398	WGS84	75	Kim L.V.	2020		778	784	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	castanea	(Clerck, 1757)	Steatoda castanea (Clerck, 1757)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_019		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-08-05	2020	8	5		manual collecting	60		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2451	76.9326	WGS84	75	Kim L.V.	2020		825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Scytodidae	Scytodes	univittata	Simon, 1882	Scytodes univittata Simon, 1882	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_020		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-08-07	2020	8	7		manual collecting	63		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2451	76.9326	WGS84	75	Kim L.V.	2020		825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	castanea	(Clerck, 1757)	Steatoda castanea (Clerck, 1757)	SPECIES	Kim L.V.	2020		
