datasetName	type	basisOfRecord	modified	language	license	rightsHolder	institutionID	institutionCode	occurrenceID	recordedBy	recordNumber	individualCount	sex	lifestage	occurrenceStatus	disposition	occurrenceRemarks	verbatimEventDate	eventDate	year	month	day	habitat	samplingProtocol	fieldNumber	eventRemarks	continent	countryCode	country	stateProvince	county	location	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	georeferencedBy	georeferencedDate	verbatimCoordinates	minimumElevationInMeters	maximumElevationInMeters	locationRemarks	kingdom	phylum	class	order	family	genus	specificEpithet	scientificNameAuthorship	species	scientificName	taxonRank	identifiedBy	dateIdentified	identificationRemarks	taxonRemarks
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_011	Kim L.V.	NA	1	male	adult	present	in collection	NA	NA	2020-07-27	2020	7	27	NA	manual collecting	48	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2449	76.9327	WGS84	75	Kim L.V.	2020	NA	825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Attulus	fasciger	(Simon, 1880)	Attulus fasciger	Attulus fasciger (Simon, 1880)	SPECIES	Kim L.V.	2020	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_012	Kim L.V.	NA	1	male	adult	present	in collection	NA	NA	2020-07-27	2020	7	27	NA	manual collecting	49	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2449	76.9327	WGS84	75	Kim L.V.	2020	NA	825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Attulus	fasciger	(Simon, 1880)	Attulus fasciger	Attulus fasciger (Simon, 1880)	SPECIES	Kim L.V.	2020	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_013	Kim L.V.	NA	1	male	adult	present	in collection	NA	NA	2020-07-27	2020	7	27	NA	manual collecting	50	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2449	76.9327	WGS84	75	Kim L.V.	2020	NA	825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Attulus	fasciger	(Simon, 1880)	Attulus fasciger	Attulus fasciger (Simon, 1880)	SPECIES	Kim L.V.	2020	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_014	Kim L.V.	NA	1	female	adult	present	in collection	NA	NA	2020-07-27	2020	7	27	NA	manual collecting	52	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2452	76.9324	WGS84	75	Kim L.V.	2020	NA	825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Attulus	fasciger	(Simon, 1880)	Attulus fasciger	Attulus fasciger (Simon, 1880)	SPECIES	Kim L.V.	2020	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_015	Kim L.V.	NA	1	female	adult	present	in collection	NA	NA	2020-07-30	2020	7	30	NA	manual collecting	53	With egg sac.	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2471	76.9274	WGS84	75	Kim L.V.	2020	NA	818	825	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Phylloneta	impressa	(L.Koch, 1881)	Phylloneta impressa	Phylloneta impressa (L.Koch, 1881)	SPECIES	Kim L.V.	2020	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_016	Kim L.V.	NA	1	female	adult	present	in collection	NA	NA	2020-07-30	2020	7	30	NA	manual collecting	55	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2453	76.9333	WGS84	75	Kim L.V.	2020	NA	825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Parasteatoda	tepidariorum	(C.L.Koch, 1841)	Parasteatoda tepidariorum	Parasteatoda tepidariorum (C.L.Koch, 1841)	SPECIES	Kim L.V.	2020	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_017	Kim L.V.	NA	1	female	adult	present	in collection	NA	NA	2020-07-30	2020	7	30	NA	manual collecting	56	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2471	76.9273	WGS84	75	Kim L.V.	2020	NA	818	825	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Phylloneta	impressa	(L.Koch, 1881)	Phylloneta impressa	Phylloneta impressa (L.Koch, 1881)	SPECIES	Kim L.V.	2020	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_018	Kim L.V.	NA	1	male	adult	present	in collection	NA	NA	2020-08-03	2020	8	3	NA	manual collecting	58	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2615	76.9398	WGS84	75	Kim L.V.	2020	NA	778	784	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	castanea	(Clerck, 1757)	Steatoda castanea	Steatoda castanea (Clerck, 1757)	SPECIES	Kim L.V.	2020	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_019	Kim L.V.	NA	1	female	adult	present	in collection	NA	NA	2020-08-05	2020	8	5	NA	manual collecting	60	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2451	76.9326	WGS84	75	Kim L.V.	2020	NA	825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Scytodidae	Scytodes	univittata	Simon, 1882	Scytodes univittata	Scytodes univittata Simon, 1882	SPECIES	Kim L.V.	2020	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_020	Kim L.V.	NA	1	female	adult	present	in collection	NA	NA	2020-08-07	2020	8	7	NA	manual collecting	63	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2451	76.9326	WGS84	75	Kim L.V.	2020	NA	825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	castanea	(Clerck, 1757)	Steatoda castanea	Steatoda castanea (Clerck, 1757)	SPECIES	Kim L.V.	2020	NA	NA
